Post Office (English),Post Code
Dhaka GPO,1000
Dhaka Sadar HO,1100
Wari TSO,1203
Gandaria TSO,1204
New Market TSO,1205
"Dhaka Cen,ft. TSO",1206
Mohammadpur Housing Estate TSO,1207
Posta TSO,1211
Dhaka Politechnique Institut TSO,1208
Jigatola TSO,1209
Gulshan TSO,1212
Banani TSO,1213
Bashabo TSO,1214
Banani TSO,1219
Tejgaon TSO,1215
Mirpur TSO,1216
Shantinagar TSO,1217
Bangabhaban TSO,1222
Dilkusha TSO,1223
Sangshad Bhaban,1225
Khilkhet TSO,1229
Uttara Model Town TSO,1230
Dania TSO,1236
Keranigonj UPO,1310
Dhaka Jute Mils SO,1311
Ati EDSO,1312
Kalatia SO,1313
Itavara,`
Nawabgonj UPO,1320
Hasnabad SO,1321
Daudpur So,1322
Agla EDSO,1323
Khalpur EDSO,1324
Churan So,1325
Joypara (Dohar) UPO,1330
Palamgonj SO,1331
Narisha SO,1332
Mokshedpur So,1333
Savar UPO,1340
Dairy Firm SO,1341
Jahangir Nagar University SO,1342
Savar PATC SO,1343
Savar Cantt. SO,1344
Shimulia SO,1345
Kashem Cotton Mills SO,1346
Rajfulbaria EDSO,1347
Amin Bazar,1348
EPZ SO,1349
Dhamrai UPO,1350
Kalampur EDSO,1351
Demra UPO,1360
Sarulia SO,1361
Kodomtoli UPO,1362
Narayangonj HO,1400.0
Bandar UPO,1410.0
DC Mills SO,1411.0
Nabigonj EDSO,1412.0
BIDC SO,1413.0
Madangonj SO,1414.0
Fatulla UPO,1420.0
Fatulla Bazar SO,1421.0
Siddirgonj Power Station UPO,1430.0
Adamjeenagar SO,1431.0
LN Mills SO,1432.0
Sonargaon UPO,1440.0
Bara Nagar EDSO,1441.0
Bradi SO,1442.0
Arhaihazar UPO,1450.0
Gopadi SO,1451.0
Rupgonj UPO,1460.0
Kanchen SO,1461.0
Bhulta SO,1462.0
Nagari EDSO,1463.0
Murapara SO,1464.0
Munshigonj HO,1500.0
Rekabi Bazar SO,1501.0
Mirkadim SO,1502.0
Khatakhali SO,1503.0
Gazaria UPO,1510.0
Hosaindi EDSO,1511.0
Rasulpur EDSO,1512.0
Tongibari UPO,1520.0
Betkahat SO,1521.0
Baligaon EDSO,1522.0
Bazragugini EDSO,1523.0
Hasail EDSO,1524.0
Digarpar SO,1525.0
Pura EDSO,1527.0
Louhajong UPO,1530.0
Korhati EDSO,1531.0
Haldia SO,1532.0
Haridia EDSO,1533.0
Gourgonj EDSO,1534.0
Medini Mandal EDSO,1535.0
Serajdi Khan UPO,1540.0
Kola SO,1541.0
Ichapur SO,1542.0
Malkhanagar SO,1543.0
Shekher Nagar SO,1544.0
Sreenagar UPO,1550.0
Barikhal EDSO,1551.0
Majpara EDSO,1552.0
Hashara SO,1553.0
Kolapara Bazar EDSO,1554.0
Kumarbhog EDSO,1555.0
Bhaigyakul SO,1556.0
Bhagra EDSO,1557.0
Narsingdi HO,1600.0
UMC Jute Mills SO,1601.0
Narsingdi College EDSO,1602.0
Panchdona SO,1603.0
Madhabdi SO,1604.0
Karimpur EDSO,1605.0
Palash UPO,1610.0
Ghorasal UF SO,1611.0
Charsindur EDSO,1612.0
Ghorasal SO,1613.0
Shibpur UPO,1620.0
Raypura UPO,1630.0
Bazar Hasnabad EDSO,1631.0
Radhagonj Bazar EDSO,1632.0
Belabo UPO,1640.0
Monohardi UPO,1650.0
Hatirdia SO,1651.0
Katabaria SO,1652.0
Gazipur HO,1700.0
BRRI SO,1701.0
Chandana EDSO,1702.0
Jatiya Bishwa Bidyalay SO,1703.0
Ipsha SO,1706.0
Monnonagar UPO,1710.0
Nishatnagar SO,1711.0
Ershadnagar,1712.0
Kaligonj UPO,1720.0
Pubali EDSO,1721.0
Santan Para EDSO,1722.0
Bhawal Jamalpur EDSO,1723.0
Kapasia UPO,1730.0
Sreepur UPO,1740.0
Rajendrapur EDSO,1741.0
Rajendrapur Cantt. SO,1742.0
Barmi SO,1743.0
Satkhamar EDSO,1744.0
Karodi SO,1745.0
Bashmur Krishi So,1747.0
Bangladesh Open Uni. SO,1748.0
kaliakair UPO,1750.0
Shafiqur A TC,1751.0
Manikgonj HO,1800.0
Manikgonj Bazar EDSO,1801.0
Gharpara EDSO,1802.0
Mohadebpur EDSO,1803.0
Barangail EDSO,1804.0
Saturia UPO,1810.0
Baliati SO,1811.0
Singair UPO,1820.0
Bayra EDSO,1821.0
Joymantop EDSO,1822.0
Lesragonj (Harirampur) UPO,1830.0
Jitka SO,1831.0
Ghior UPO,1840.0
Shibalaya UPO,1850.0
Arichaghat SO,1851.0
Teota EDSO,1852.0
Uthali ED,1853.0
Daulatpur UPO,1860.0
Tangail HO,1900.0
Kagmari EDSO,1901.0
Sontosh SO,1902.0
Karatia SO,1903.0
Purabari EDSO,1904.0
Deldoar UPO,1910.0
Jangalia SO,1911.0
